Kdramas_dataset_modificado
title;release_year;episodes;ratings;original_network;netflix;viki;prime_video;disney_plus;hbo_max;apple_tv;disponible_en_chile
Fantastic (Korean Drama);2016;16;7.6;JTBC;no;no;no;no;no;no;no
Dr. Romantic;2016;20;8.7;SBS;yes;yes;no;no;no;no;yes
Weightlifting Fairy Kim Bok-joo;2016;16;8.7;MBC;yes;no;no;no;no;no;yes
Still Loving You;2016;125;7.6;KBS1;no;no;no;no;no;no;no
Monster (Drama Series);2016;50;7.2;MBC;no;no;no;no;no;no;no
Listen To Love;2016;12;7.8;JTBC;no;no;no;no;no;no;no
Descendants of the Sun;2016;19;8.6;KBS2;no;yes;no;no;no;no;yes
Uncontrollably Fond;2016;20;8.1;KBS2;no;yes;no;no;no;no;yes
Vampire Detective;2016;12;7.4;OCN;no;no;no;no;no;no;no
Bring it on, Ghost;2016;16;8.1;tvN;no;yes;no;no;no;no;yes
Love in the Moonlight;2016;19;8.2;KBS2;yes;yes;no;no;no;no;yes
The Master of Revenge;2016;20;7.4;KBS2;no;no;no;no;no;no;no
Secrets of Women;2016;106;7.0;KBS2;no;no;no;no;no;no;no
Cinderella and the Four Knights;2016;16;7.7;tvN;yes;yes;no;no;no;no;yes
Begin Again ****;2016;121;6.9;TBA;no;no;no;no;no;no;no
Come Back Mister;2016;16;7.9;SBS;no;no;no;no;no;no;no
Goblin;2016;16;8.8;tvN;no;no;no;no;no;no;no
Moon Lovers: Scarlet Heart Ryeo;2016;20;8.7;SBS;yes;no;no;no;no;no;yes
Solomon's Perjury (Korean Drama);2016;12;8.1;JTBC;no;no;no;no;no;no;no
Becky's Back;2016;4;7.6;KBS2;no;no;no;no;no;no;no
Here Comes Love;2016;120;7.3;SBS;no;no;no;no;no;no;no
Always Spring;2016;122;6.4;MBC;no;no;no;no;no;no;no
First Love Again;2016;104;6.8;KBS2;no;no;no;no;no;no;no
The Royal Gambler;2016;24;7.7;SBS;no;yes;no;no;no;no;yes
Madame Antoine: The Love Therapist;2016;16;7.3;JTBC;no;yes;no;no;no;no;yes
One More Time;2016;8;7.4;KBS2;yes;no;no;no;no;no;yes
Moorim School;2016;16;7.6;KBS2;yes;no;no;no;no;no;yes
Hwarang;2016;20;8.0;KBS2;yes;yes;no;no;no;no;yes
White Nights (Korean Drama);2016;20;6.9;MBC;yes;no;no;no;no;no;yes
Smashing on Your Back;2017;50;7.9;TV Chosun;no;no;no;no;no;no;no
Radiant Office;2017;16;7.5;MBC;no;no;no;no;no;no;no
Enemies from the Past;2017;123;7.4;MBC;no;no;no;no;no;no;no
Oh, The Mysterious;2017;40;7.4;SBS;no;no;no;no;no;no;no
I'm Not a Robot;2017;16;8.3;MBC;yes;no;no;no;no;no;yes
Save Me;2017;16;8.5;OCN;no;no;no;no;no;no;no
Black Knight: The Man Who Guards Me;2017;20;7.2;KBS2;no;yes;no;no;no;no;yes
Fight for My Way;2017;16;8.5;KBS2;yes;yes;no;no;no;no;yes
Return of Fortunate Bok;2017;122;7.5;MBC;no;no;no;no;no;no;no
Sweet Enemy;2017;124;6.8;SBS;no;no;no;no;no;no;no
Because this is My First Life;2017;16;8.4;tvN;yes;yes;no;no;no;no;yes
Meloholic;2017;10;7.3;OCN;no;no;no;no;no;no;no
Backflow (Korean Drama);2017;119;7.0;MBC;no;no;no;no;no;no;no
My Only Love Song;2017;20;7.7;Netflix;yes;no;no;no;no;no;yes
Prison Playbook;2017;16;8.9;tvN;yes;no;no;no;no;no;yes
Strongest deliveryman;2017;16;7.8;KBS2;yes;no;no;no;no;no;yes
Go Back Couple;2017;12;8.5;KBS2;yes;yes;no;no;no;no;yes
Unknown Woman;2017;102;7.2;KBS2;no;no;no;no;no;no;no
Bad Guys: Vile City;2017;16;7.6;OCN;yes;no;no;no;no;no;yes
The Emperor: Owner of the Mask;2017;40;7.9;MBC;no;no;no;no;no;no;no
Argon (Korean Drama);2017;8;7.9;tvN;yes;no;no;no;no;no;yes
Temperature of Love;2017;40;7.5;SBS;no;yes;no;no;no;no;yes
Two Cops (Korean Drama);2017;32;7.8;MBC;no;no;no;no;no;no;no
My Golden Life;2017;52;7.9;KBS2;yes;no;no;no;no;no;yes
The Lady in Dignity;2017;20;8.1;JTBC;yes;no;no;no;no;no;yes
School 2017;2017;16;8.1;KBS2;no;yes;no;no;no;no;yes
Hospital Ship;2017;40;7.8;MBC;no;no;no;no;no;no;no
Man to Man;2017;16;7.8;JTBC;yes;yes;no;no;no;no;yes
The Bride of Habaek;2017;16;7.4;tvN;no;yes;no;no;no;no;yes
Good Manager;2017;20;8.5;KBS2;no;yes;no;no;no;no;yes
While You Were Sleeping ;2017;16;8.7;TBA;no;yes;no;no;no;no;yes
Love Returns;2017;121;7.3;KBS1;yes;no;no;no;no;no;yes
The Secret of My Love;2017;100;6.9;KBS2;no;no;no;no;no;no;no
