release_year,platform,avg_rating,kdrama_count
2016,netflix,8.042857142857143,14
2016,prime_video,8.106666666666666,15
2016,viu,8.241666666666667,12
2017,netflix,7.98695652173913,23
2017,prime_video,8.073333333333332,15
2017,viu,8.064705882352941,17
2018,netflix,8.166666666666666,15
2018,prime_video,7.927272727272728,11
2018,viu,8.136363636363637,11
2019,netflix,8.275,16
2019,prime_video,7.872727272727272,11
2019,viu,7.872727272727274,11
2020,netflix,8.063157894736841,19
2020,prime_video,8.014285714285714,14
2020,viu,7.9173913043478255,23
2021,disney_plus,8.4,1
2021,netflix,8.139999999999999,15
2021,prime_video,7.908333333333334,12
2021,viu,7.933333333333334,12
2022,disney_plus,7.914285714285714,7
2022,netflix,8.292857142857143,14
2022,prime_video,7.760000000000001,15
2022,viu,8.36,5
2023,disney_plus,8.6,5
2023,netflix,8.1375,16
2023,prime_video,7.809090909090909,11
2023,viu,8.185714285714285,7
2024,disney_plus,7.9,2
2024,netflix,7.885714285714286,14
2024,prime_video,7.483333333333333,6
2024,viu,8.171428571428573,7
2025,disney_plus,7.9799999999999995,5
2025,netflix,8.28125,16
2025,prime_video,7.553846153846153,13
2025,viu,8.0,2
