release_year;netflix;viki;prime_video;disney_plus
2016;no;no;no;no
2016;yes;yes;no;no
2016;yes;no;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;no;yes;no;no
2016;no;yes;no;no
2016;no;no;no;no
2016;no;yes;no;no
2016;yes;yes;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;yes;yes;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;yes;no;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;no;no;no;no
2016;no;yes;no;no
2016;no;yes;no;no
2016;yes;no;no;no
2016;yes;no;no;no
2016;yes;yes;no;no
2016;yes;no;no;no
2017;no;no;no;no
2017;no;no;no;no
2017;no;no;no;no
2017;no;no;no;no
2017;yes;no;no;no
2017;no;no;no;no
2017;no;yes;no;no
2017;yes;yes;no;no
2017;no;no;no;no
2017;no;no;no;no
2017;yes;yes;no;no
2017;no;no;no;no
2017;no;no;no;no
2017;yes;no;no;no
2017;yes;no;no;no
2017;yes;no;no;no
2017;yes;yes;no;no
2017;no;no;no;no
2017;yes;no;no;no
2017;no;no;no;no
2017;yes;no;no;no
2017;no;yes;no;no
2017;no;no;no;no
2017;yes;no;no;no
2017;yes;no;no;no
2017;no;yes;no;no
2017;no;no;no;no
2017;yes;yes;no;no
2017;no;yes;no;no
2017;no;yes;no;no
2017;no;yes;no;no
2017;yes;no;no;no
2017;no;no;no;no
2017;no;no;no;no
2017;no;no;no;no
2017;yes;yes;no;no
2018;yes;no;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;yes;yes;no;no
2018;no;no;no;no
2018;no;yes;no;no
2018;no;no;no;no
2018;yes;no;no;no
2018;no;no;no;no
2018;yes;yes;no;no
2018;no;yes;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;yes;yes;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;no;yes;no;no
2018;no;yes;no;no
2018;no;no;no;no
2018;no;yes;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;yes;no;no;no
2018;yes;yes;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;yes;yes;no;no
2018;no;no;no;no
2018;no;no;no;no
2018;no;no;no;no
2019;no;no;no;no
2019;no;no;no;no
2019;yes;yes;no;no
2019;no;no;no;no
2019;no;no;no;no
2019;no;no;no;no
2019;no;no;no;no
2019;no;no;no;no
2019;yes;yes;no;no
2019;yes;no;no;no
2019;no;no;no;no
2019;yes;no;no;no
2019;no;yes;no;no
2019;no;no;no;no
2019;yes;yes;no;no
2019;no;no;no;no
2019;no;no;no;no
2019;no;yes;no;no
2019;no;no;no;no
2019;no;no;no;no
2019;yes;no;no;no
2019;no;yes;no;no
2019;no;no;no;no
2019;yes;no;no;no
2019;yes;no;no;no
2019;no;yes;no;no
2019;yes;yes;no;no
2019;yes;no;no;no
2019;no;no;no;no
2019;yes;yes;no;no
2019;no;no;no;no
2019;yes;no;no;no
2019;no;no;no;no
2019;yes;no;no;no
2020;no;no;no;no
2020;no;yes;no;no
2020;no;yes;no;no
2020;no;no;no;no
2020;no;no;no;no
2020;no;no;no;no
2020;no;no;no;no
2020;no;no;no;no
2020;no;no;no;no
2020;no;no;no;no
2020;yes;yes;no;no
2020;no;yes;no;no
2020;no;yes;no;no
2020;yes;yes;no;no
2020;no;no;no;no
2020;no;yes;no;no
2020;no;no;no;no
2020;no;yes;no;no
2020;yes;yes;no;no
2020;no;no;no;no
2020;no;yes;no;no
2020;yes;yes;no;no
2020;yes;no;no;no
2020;no;yes;no;no
2020;no;no;no;no
2020;no;yes;no;no
2020;no;yes;no;no
2020;yes;yes;no;no
2020;yes;no;no;no
2020;yes;no;no;no
2020;yes;no;no;no
2021;no;yes;no;no
2021;yes;no;no;no
2021;no;no;no;no
2021;no;no;no;no
2021;no;no;no;no
2021;yes;no;no;no
2021;no;no;no;no
2021;yes;no;no;no
2021;yes;no;no;no
2021;no;yes;no;no
2021;no;no;no;no
2021;no;yes;yes;no
2021;no;yes;no;no
2021;no;yes;no;no
2021;yes;no;no;no
2021;no;yes;no;no
2021;no;yes;no;no
2021;no;yes;no;no
2021;yes;no;no;no
2021;no;yes;no;no
2021;yes;yes;no;no
2021;yes;no;no;no
2021;no;yes;no;no
2021;no;no;no;no
2021;no;yes;no;no
2021;yes;no;no;no
2021;no;no;no;no
2021;no;yes;no;no
2021;no;no;no;no
2021;yes;no;no;no
2021;yes;no;no;no
2021;no;yes;no;no
2021;no;no;no;yes
2021;no;no;no;no
2021;no;yes;no;no
2021;yes;no;no;no
2022;no;yes;no;no
2022;no;no;yes;no
2022;yes;no;no;no
2022;yes;no;no;no
2022;yes;no;no;no
2024;no;yes;no;no
2022;no;no;no;no
2022;no;no;no;no
2022;yes;no;no;no
2022;yes;no;no;no
2022;no;no;no;no
2022;yes;no;no;no
2022;no;yes;no;no
2022;no;no;no;yes
2022;yes;no;no;no
2022;no;yes;no;no
2022;yes;no;no;no
2022;yes;no;no;no
2022;no;no;no;no
2022;yes;no;no;no
2022;no;no;no;no
2022;no;no;no;yes
2022;no;no;no;no
2022;yes;no;no;no
2022;no;no;no;no
2022;no;no;no;no
2022;no;no;no;yes
2022;yes;yes;no;no
2022;no;no;no;no
2022;no;no;no;no
2022;no;yes;no;no
2022;no;no;no;yes
2022;yes;yes;no;no
2022;no;no;no;yes
2022;no;no;no;no
2022;no;no;no;yes
2022;yes;no;no;no
2022;no;no;no;no
2022;no;no;no;no
2022;no;yes;no;no
2023;no;no;no;no
2023;yes;no;no;no
2023;no;no;no;yes
2023;no;no;yes;no
2023;no;yes;no;no
2023;no;yes;no;no
2023;yes;yes;no;no
2023;yes;no;no;no
2023;no;yes;no;no
2023;yes;no;no;no
2023;no;no;no;no
2023;yes;yes;no;no
2023;no;no;no;no
2023;no;no;no;yes
2023;yes;yes;no;no
2023;no;no;no;no
2023;yes;yes;no;no
2023;yes;yes;no;no
2023;no;yes;no;no
2023;no;no;no;no
2023;yes;no;no;no
2023;no;no;yes;no
2023;yes;no;no;no
2023;no;yes;no;no
2023;yes;yes;no;no
2023;no;no;no;no
2023;no;yes;no;no
2023;yes;no;no;no
2023;no;no;no;no
2023;no;no;no;yes
2023;yes;no;no;no
2023;yes;yes;no;no
2023;yes;no;no;no
2023;yes;no;no;no
2023;no;yes;no;no
2023;no;no;no;yes
2023;no;no;no;no
2024;no;yes;no;no
2024;yes;no;no;no
2024;no;no;no;no
2024;yes;no;no;no
2024;no;no;yes;no
2024;no;yes;no;no
2024;no;yes;no;no
2024;yes;no;no;no
2024;yes;no;no;no
2024;no;no;no;no
2024;yes;no;no;no
2024;yes;no;no;no
2024;no;no;no;no
2024;no;yes;no;no
2024;no;yes;no;no
2024;no;no;no;no
2024;no;no;no;no
2024;yes;no;no;no
2024;no;yes;no;no
2024;yes;no;no;no
2024;no;yes;no;no
2024;yes;no;no;no
2024;yes;no;no;no
2024;yes;no;no;no
2024;yes;yes;no;no
2024;no;yes;no;no
2024;yes;yes;no;no
2024;no;no;no;yes
2024;no;no;no;no
2024;no;yes;no;no
2024;no;yes;no;no
2024;no;yes;no;no
2024;yes;no;no;no
2025;no;no;no;no
2025;yes;no;no;no
2025;no;no;no;no
2025;no;yes;no;no
2025;no;no;no;no
2025;yes;no;no;no
2025;yes;no;no;no
2025;no;no;yes;no
2025;no;no;no;no
2025;yes;yes;no;no
2025;yes;no;no;no
2025;no;no;no;yes
2025;no;no;no;no
2025;no;no;no;no
2025;no;no;no;yes
2025;yes;no;no;no
2025;yes;yes;no;no
2025;yes;no;no;no
2025;no;no;no;no
2025;no;no;no;yes
2025;yes;no;no;no
2025;no;no;no;no
2025;yes;no;no;no
2025;no;no;yes;no
2025;no;yes;no;no
2025;yes;no;no;no
2025;no;no;no;yes
2025;no;no;no;no
2025;no;no;no;no
2025;no;no;no;no
2025;yes;yes;no;no
2025;yes;no;no;no
2025;no;yes;no;no
2025;yes;no;no;no
