Title ;Episode;Year ;Aired ;Original Network;;Content Rating;Plataformas 
Title: A World of Peace;Episodes: 11;1969;Aired: 3 nov, 1969;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Frog Husband;Episodes: 100;1969;Aired: Nov 17, 1969;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: My Lady;Episodes: 253;1970;Aired: Aug, 1970;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: Jang Hee Bin;Episodes: 154;1971;Aired: Jul 18, 1971 - Jan 31, 1972;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Chief Inspector;Episodes: 880;1971;Aired: Mar  6, 1971 - Oct 12, 1989;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Missing My Mother;Episodes: 263;1972;Aired: Aug 27, 1972 - Jun 29, 1973;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: Memoirs Written in Silence;Episodes: 130;1972;Aired: Mar  7, 1972 - Aug 17, 1972;Original Network:  KBS1;;Content Rating: Not Yet Rated;
Title: Daewongun;Episodes: 229;1972;Aired: Oct 30, 1972 - Mar 31, 1973;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Queen Min;Episodes: 195;1973;Aired: Apr  2, 1973 - Dec 28, 1973;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Great King Sejong;Episodes: 199;1973;Aired: Feb  5, 1973 - Oct  6, 1973;Original Network:  KBS1;;Content Rating: Not Yet Rated;
Title: Kang Gam Chan;Episodes: 77;1973;Aired: Oct  9, 1973 - Jan  9, 1974;Original Network:  KBS1;;Content Rating: Not Yet Rated;
Title: Yeonhwa;Episodes: 192;1973;Aired: Sep 23, 1973 - May  3, 1974;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: Yun Ji Gyeong;Episodes: 148;1974;Aired: May  5, 1974 - Oct 25, 1974;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: Boknyeo;Episodes: 108;1974;Aired: May 27, 1974 - Oct 25, 1974;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Jade Flute;Episodes: 119;1975;Aired: May  5, 1975 - Sep 20, 1975;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: King's First Love;Episodes: 173;1975;Aired: Sep 22, 1975 - Apr  9, 1976;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: Tenacity;Episodes: 143;1975;Aired: Sep 22, 1975 - Apr  9, 1976;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Lady of the Side Chamber;Episodes: 150;1976;Aired: Apr 12, 1976 - Oct  2, 1976;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: Yearning for a Beauty;Episodes: 90;1976;Aired: Jun 14, 1976 - Oct 16, 1976;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Cheon Nyeon Hwa;Episodes: 143;1976;Aired: Oct  4, 1976 - Mar 18, 1977;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: The Merchant;Episodes: 90;1976;Aired: Oct 18, 1976 - Jan 29, 1977;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Rain, Wind and the Cold Dew;Episodes: 174;1977;Aired: Aug 28, 1977 - Mar 17, 1978;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: Ok Nyeo;Episodes: 136;1977;Aired: Dec 19, 1977 - May 26, 1978;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Junghwa;Episodes: 178;1977;Aired: Jan 31, 1977 - Aug 27, 1977;Original Network:  MBC;;Content Rating: Not Yet Rated;
Title: Legend of Lady Heo;Episodes: 138;1977;Aired: Mar 20, 1977 - Aug 26, 1977;Original Network:  TBC;;Content Rating: Not Yet Rated;
Title: Trap of Youth;Episodes: 20;1978;Aired: Aug 19, 1978 - Nov  5, 1978;Original Network:  MBC;;Content Rating: 15+ - Teens 15 or older;
Title: Slave;Episodes: 221;1978;Aired: Jul 11, 1978 - Mar 30, 1979;Original Network:  TBC;;Content Rating: Not Yet Rated;
