Time;BTS;Coreano;Drama coreano;K-pop;Korean cuisine;Bias;Manhwa
01-01-2004;0;8;0;0;0;0;0
01-02-2004;0;9;0;0;0;0;0
01-03-2004;0;7;0;0;0;0;0
01-04-2004;0;8;0;0;0;0;0
01-05-2004;0;8;0;0;0;0;0
01-06-2004;0;38;0;0;0;0;0
01-07-2004;0;13;0;0;0;0;0
01-08-2004;0;7;0;0;0;0;0
01-09-2004;0;10;0;0;0;0;0
01-10-2004;0;6;0;0;0;0;0
01-11-2004;0;11;0;0;0;0;0
01-12-2004;0;6;0;0;0;0;0
01-01-2005;0;6;0;0;0;0;0
01-02-2005;0;7;0;0;0;0;0
01-03-2005;0;6;0;0;0;0;0
01-04-2005;0;8;0;0;0;0;0
01-05-2005;0;6;0;0;0;0;0
01-06-2005;0;8;0;0;0;0;0
01-07-2005;0;6;0;0;0;0;0
01-08-2005;0;8;0;0;0;0;0
01-09-2005;0;6;0;0;0;0;0
01-10-2005;0;4;0;0;0;0;0
01-11-2005;0;6;0;0;0;0;0
01-12-2005;0;6;0;0;0;0;0
01-01-2006;0;6;0;0;0;0;0
01-02-2006;0;6;0;0;0;0;0
01-03-2006;0;6;0;0;0;0;0
01-04-2006;0;9;1;0;0;0;0
01-05-2006;0;7;2;0;0;2;0
01-06-2006;0;7;0;0;0;3;0
01-07-2006;0;8;0;0;0;2;0
01-08-2006;0;8;0;0;0;0;0
01-09-2006;0;7;0;0;0;1;0
01-10-2006;0;7;0;0;0;0;0
01-11-2006;0;7;0;0;0;0;0
01-12-2006;0;5;0;0;0;0;0
01-01-2007;0;6;0;0;0;0;0
01-02-2007;0;7;0;0;0;0;0
01-03-2007;0;5;0;0;0;2;0
01-04-2007;0;7;0;0;0;2;0
01-05-2007;0;6;0;0;0;2;0
01-06-2007;1;7;0;0;0;2;0
01-07-2007;0;7;0;0;0;1;0
01-08-2007;0;7;0;0;0;1;0
01-09-2007;1;6;0;0;0;1;0
01-10-2007;0;7;0;0;0;2;0
01-11-2007;0;6;1;0;0;1;0
01-12-2007;1;6;1;0;0;1;0
